,Date,Close,Total Returns Index,Low,High,EMA200,SMA10,BB_lower,Open,BB_upper,EMA10,next_day_close
0,2005-01-03,2115.0,2458.99,2080.0,2118.6,1764.81558139351,2064.669999999999,1957.82693352544,2080.0,2109.1030664745563,2065.6112899689265,2103.75
1,2005-01-04,2103.75,2445.91,2100.55,2120.15,1768.188063170689,2070.579999999999,1959.938834893641,2116.95,2118.096165106355,2072.5456008836672,2032.2
2,2005-01-05,2032.2,2362.72,1990.15,2105.1,1770.8150476167518,2070.264999999999,1967.6526593349704,2103.75,2115.8073406650265,2065.210037086637,1998.35
3,2005-01-06,1998.35,2323.37,1984.25,2035.65,1773.0790769936996,2065.5849999999987,1969.1645356937245,2031.55,2115.135464306272,2053.0536667072483,2015.5
4,2005-01-07,2015.5,2343.31,1992.55,2021.45,1775.4912254813244,2060.864999999999,1978.3152274791908,1998.25,2110.634772520805,2046.2257273059304,1982.0
5,2005-01-10,1982.0,2304.36,1974.8,2025.9,1777.546039158127,2052.804999999999,1977.5356850254109,2016.75,2111.079314974586,2034.548322341216,1952.05
6,2005-01-11,1952.05,2269.54,1947.35,1988.9,1779.2823969774493,2040.8749999999989,1965.088457128518,1982.7,2118.051542871479,2019.5486273700856,1913.6
7,2005-01-12,1913.6,2224.83,1900.85,1966.65,1780.6188905398626,2025.274999999999,1941.1625668564056,1953.6,2130.467433143591,2000.2852405755243,1954.55
8,2005-01-13,1954.55,2272.44,1916.95,1963.4,1782.349548345436,2014.7499999999989,1930.805018457388,1922.5,2132.959981542609,1991.9697422890656,1931.1
9,2005-01-14,1931.1,2245.18,1922.85,1961.4,1783.8296523419988,1999.8099999999988,1917.8134094975023,1954.9,2137.8515905024947,1980.9025164183265,1932.9
10,2005-01-17,1932.9,2247.27,1902.45,1944.55,1785.312939383372,1981.599999999999,1905.584257339684,1931.75,2140.6857426603137,1972.1747861604488,1934.05
11,2005-01-18,1934.05,2248.61,1925.35,1956.95,1786.7929101357763,1964.6299999999987,1894.3552458420647,1933.05,2140.854754157933,1965.243006858549,1926.65
12,2005-01-19,1926.65,2240.0,1922.35,1945.65,1788.1845229702462,1954.074999999999,1883.081153076689,1934.1,2141.2588469233087,1958.226096520631,1925.3
13,2005-01-20,1925.3,2238.44,1900.05,1940.95,1789.54885607502,1946.769999999999,1872.715769623875,1928.1,2139.639230376123,1952.23953351688,1909.0
14,2005-01-24,1909.0,2219.48,1902.9,1932.75,1790.7374246712884,1936.119999999999,1861.2863365998537,1925.3,2135.6986634001446,1944.3778001501744,1931.85
15,2005-01-25,1931.85,2246.05,1894.4,1934.25,1792.1415298984398,1931.1049999999989,1855.1307846725008,1908.85,2128.7792153274977,1942.100018304688,1955.0
16,2005-01-27,1955.0,2273.01,1929.0,1961.75,1793.7620121880077,1931.399999999999,1853.480370998268,1931.9,2118.7946290017303,1944.4454695220168,2008.3
17,2005-01-28,2008.3,2334.98,1950.85,2014.25,1795.8967185343954,1940.869999999999,1855.5367227648328,1955.25,2110.6082772351665,1956.0553841543776,2057.6
18,2005-01-31,2057.6,2393.76,2006.35,2060.4,1798.500731285297,1951.1749999999988,1855.6880961515228,2008.45,2110.236903848476,1974.5180415808543,2059.85
19,2005-02-01,2059.85,2396.67,2045.25,2072.5,1801.1012215212645,1964.0499999999988,1857.5349261426152,2057.75,2106.325073857384,1990.032943111608,2052.25
20,2005-02-02,2052.25,2387.83,2045.5,2074.5,1803.600214341948,1975.9849999999988,1865.292657379034,2062.15,2092.292342620964,2001.345135273134,2079.45
21,2005-02-03,2079.45,2419.48,2052.35,2083.75,1806.3449883285955,1990.524999999999,1869.0426186254565,2052.35,2086.112381374541,2015.546019768928,2077.95
22,2005-02-04,2077.95,2417.73,2060.8,2099.2,1809.0475257581616,2005.6549999999988,1865.073475487152,2079.4,2094.6565245128463,2026.892197992759,2055.1
23,2005-02-07,2055.1,2391.44,2049.85,2098.0,1811.4958090839511,2018.6349999999989,1863.5026238465944,2097.45,2101.902376153404,2032.020889266803,2055.15
24,2005-02-08,2055.15,2391.5,2043.6,2065.0,1813.920228894061,2033.2499999999989,1862.0983689997724,2055.0,2107.2716310002256,2036.226182127384,2070.0
25,2005-02-09,2070.0,2408.78,2055.2,2077.7,1816.4682863180008,2047.0649999999991,1861.00561016704,2055.2,2117.1643898329585,2042.3668762860416,2063.35
26,2005-02-10,2063.35,2401.04,2049.85,2075.1,1818.9248207824985,2057.8999999999987,1863.8478861027645,2070.1,2125.452113897233,2046.1819896885795,2082.05
27,2005-02-11,2082.05,2422.8,2063.35,2084.5,1821.542981769737,2065.2749999999987,1872.5375603287184,2063.35,2133.60743967128,2052.703446108838,2098.25
28,2005-02-14,2098.25,2441.65,2083.05,2110.15,1824.29628543372,2069.3399999999992,1875.4474919331424,2083.05,2145.067508066856,2060.984637725413,2089.95
29,2005-02-15,2089.95,2431.99,2081.2,2101.6,1826.939605976668,2072.3499999999995,1884.265680275786,2098.25,2152.134319724212,2066.251067229883,2068.8
30,2005-02-16,2068.8,2407.38,2059.45,2103.4,1829.346177061477,2074.004999999999,1895.3394258815404,2090.0,2154.6505741184574,2066.7145095517226,2061.9
31,2005-02-17,2061.9,2399.35,2045.85,2069.15,1831.660145448925,2072.249999999999,1907.834641372653,2069.1,2154.9403586273447,2065.839144178682,2055.55
32,2005-02-18,2055.55,2391.96,2048.85,2076.7,1833.887905195702,2070.01,1923.7188142520383,2062.45,2151.94618574796,2063.968390691649,2043.2
